,,,,,,,,"Baseline Assessment Tool for HIV Prevention, PMTCT, HIV/TB & MNCH Service Transition _ DoS TWGs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Integration of HIV Prevention, HIV/TB,  PMTCT  & MNCH Services and EMR Use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Cutting Areas,,,
Section 1: Facility Profile,,,,,,,,Section 2a: Integration of HIV/TB Services,,,,,"Section 2b: Integration of Other Services - PMTCT in MCNH & HIV Prevention in OPD, IPD & MCNH",,,,,,,Section 2c: EMR Integration,,,,,,,,,,,,,,,,,,,,Section 3: HRH Transition (Workforce Absorption),,,,,,,,,,,,Section 4: PLHIV &  PBFW Enrollment into SHA,,,,,,Section 5: County Led Technical Assistance / Mentorship,,,Section 6: Financing and Sustainability,,,Section 7: Mortality outcomes (Sustainability of quality of care),,,,,,Section 10a: Simplification of Donor Reporting,,,
Mtoroni Dispensary,18309,Stawisha Pwani,Kilifi,Magarini,Level II,Yes,No,No,, -   , -   , -   ,Not Applicable,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,No,No, -   , -   ,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Viragoni Dispensary,17689,Stawisha Pwani,Kilifi,Kaloleni,Level II,Yes,No,No,, -   , -   ,,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   ,,,,, -   ,,,,No,No, -   ,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Kokotoni Dispensary,17017,Stawisha Pwani,Kilifi,Rabai,Level II,Yes,Yes,Yes,OPD,43,1,43,No,Yes,Not Applicable,No,Yes,Not Applicable,No,Yes,No,EMR Not Available,,EMR Not Available,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,No,No,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes, -   ,,,,,, -   , -   ,,,,, -   ,,,,Yes,Yes,1,,,Yes,Yes,No, -   , -   , -   , -   , -   , -   ,,,,
St Benedetto Health Centre,16526,Stawisha Pwani,Kilifi,Magarini,Level II,Yes,Yes,Yes,OPD,185,6,185,Yes,Yes,Not Applicable,Yes,Yes,No,No,Yes,No,EMR Not Available,,EMR Not Available,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Yes,No,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes,2,,,1,1,, -   , -   ,,,,, -   ,,,,Yes,Yes, -   ,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Chalani Dispensary,16191,Stawisha Pwani,Kilifi,Kaloleni,Level II,Yes,Yes,Yes,OPD,24, -   ,24,Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   ,,,,, -   ,,,,No,No, -   ,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Vishakani Dispensary,16190,Stawisha Pwani,Kilifi,Kaloleni,Level III,Yes,Yes,Yes,OPD,22, -   ,22,Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   ,,,,, -   ,,,,No,No, -   ,,,No,Not Applicable,No,2, -   , -   , -   , -   ,2,,,,
Shangia Dispensary,16189,Stawisha Pwani,Kilifi,Kaloleni,Level II,Yes,Yes,Yes,OPD,38,2,38,Yes,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,No,No,1,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Mariakani Community Health Care Services,16188,Stawisha Pwani,Kilifi,Kaloleni,Level IV,Yes,Yes,No,,14, -   ,,Not Applicable,No,Not Applicable,No,No,No,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,No,, -   ,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Dagamra Medical Clinic,16186,Stawisha Pwani,Kilifi,Rabai,Level II,Yes,No,No,, -   , -   , -   ,Not Applicable,No,Not Applicable,No,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No,3,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,No,No, -   ,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Oasis Medical Center,11912,Stawisha Pwani,Kilifi,Kilifi South,Level II,Yes,Yes,No,,930,31, -   ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Other - Specify,SMARTHEALTH,Other - Specify,SMARTHEALTH,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR, ,Yes,No,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes,4,,1,,3,, -   , -   ,,,,, -   ,,16,,Yes,No,3,1,Yes,Yes,Yes,No,4,4, -   , -   , -   , -   ,,,,
